name,species,gender,house,blood
Charlie G,Human,Male,unknown,Muggle
Peter G. (Little Hangleton),Human,Male,unknown,unknown
Arthur G.,Human,Male,unknown,unknown
Peter G. (Godric's Hollow),Human,Male,unknown,unknown
Edmund Gaddlegate,Human,Male,unknown,Muggle
Louis Gage,Human,Male,unknown,Pure-blood
Mathis Gage,Human,Male,unknown,Pure-blood
Reynard Gage,Human,Male,unknown,Pure-blood
Brian Gagwilde III,Human,Male,unknown,Pure-blood
Brian Gagwilde,Human,Male,unknown,unknown
Galileo Galilei,Human,Male,unknown,Muggle
Brian Gallagher,unknown,Male,unknown,unknown
William Gallagher,unknown,Male,unknown,unknown
Paul Gallico,Human,Male,unknown,Muggle
Ulick Gamp,Human,Male,unknown,Pure-blood
Chris Garland,Human,Male,Gryffindor,unknown
Jeremiah Garnet,Human,Male,unknown,unknown
Garrick Ollivander's peacock,Peacock,Male,unknown,unknown
John Garry,Human,Male,unknown,Muggle
Corvinus Gaunt,Human,Male,Slytherin,Pure-blood
Marvolo Gaunt,Human,Male,unknown,Pure-blood
Morfin Gaunt,Human,Male,unknown,Pure-blood
C. J. Gebauhr,Human,Male,unknown,Muggle
George III,unknown,Male,unknown,Muggle
Ethan Gerard,Human,Male,Gryffindor,unknown
Kit Gerrard,Human,Male,unknown,unknown
Ghost of a ragged man wearing chains,unknown,Male,unknown,unknown
Portly ghost,unknown,Male,unknown,unknown
Ghost of a highwayman,unknown,Male,unknown,unknown
Unidentified ghost (VII),Human,Male,unknown,unknown
Ghost at Gryffindor Tower,unknown,Male,unknown,unknown
Ghost who played Sir Nicholas de Mimsy-Porpington's executioner,unknown,Male,unknown,unknown
Ross Gibberd (I),Human,Male,unknown,unknown
Ross Gibberd (II),Human,Male,unknown,unknown
Gibbon,Human,Male,unknown,unknown
Charles Dana Gibson,Human,Male,unknown,Muggle
Giffard Abbott's dog,Dog,Male,unknown,unknown
Gilderoy Lockhart's helper,Human,Male,unknown,unknown
Gimkey,House-elf,Male,unknown,unknown
Toby Gleaves,unknown,Male,unknown,unknown
Glen,Human,Male,unknown,unknown
Gnarlak,Goblin,Male,unknown,unknown
Goblet of Fire casket carriers,Human,Male,unknown,unknown
Godelot,Human,Male,unknown,unknown
Godfrey,unknown,Male,unknown,unknown
Melvin Godfrey,unknown,Male,unknown,Muggle
Godric's Hollow Muggle boy,Human,Male,unknown,Muggle
Goldstein sisters' grandfather,Human,Male,unknown,unknown
Anthony Goldstein,Human,Male,Ravenclaw,Half-blood
Goldstein sisters' father,Human,Male,unknown,unknown
Golgomath,Giant,Male,unknown,unknown
Goliath,Giant,Male,unknown,unknown
Goliath's slayer,Human,Male,unknown,unknown
Gordon,Human,Male,unknown,Muggle
Hesphaestus Gore,Human,Male,unknown,Pure-blood
Dragomir Gorgovitch,Human,Male,unknown,unknown
Gorilla at the Zoo,Gorilla,Male,unknown,unknown
Gormless Morgan,Human,Male,unknown,unknown
Gornuk,Goblin,Male,unknown,unknown
Jakub Gorski,Human,Male,unknown,unknown
Damon Gosforth,Human,Male,Slytherin,unknown
Miranda Goshawk's father,Human,Male,unknown,unknown
Gossamer,Human,Male,unknown,unknown
Stephen Gould,Human,Male,Gryffindor,unknown
Goyle,Human,Male,Slytherin,Pure-blood
Gregory Goyle,Human,Male,Slytherin,Pure-blood
Harold Grace,unknown,Male,unknown,Muggle
Hermione Granger's father,Human,Male,unknown,Muggle
Gondulphus Graves,Human,Male,unknown,unknown
Merton Graves,Human,Male,unknown,unknown
Percival Graves,Human,Male,unknown,unknown
Grawp,Giant,Male,unknown,unknown
Grawp's father,Giant,Male,unknown,unknown
Greek man,Human,Male,unknown,unknown
Robert Green,Human,Male,unknown,unknown
Gareth Greengrass,Human,Male,unknown,unknown
Franklin Greenwood,unknown,Male,unknown,Muggle
Mykew Gregorovitch,Human,Male,unknown,unknown
Gregory the Smarmy,Human,Male,unknown,unknown
Grenouille,Human,Male,unknown,unknown
Fenrir Greyback,Werewolf,Male,unknown,unknown
Richard Griffiths (in-universe),Human,Male,unknown,Muggle
Abraham Grimblehawk,Human,Male,Hufflepuff,Half-blood
Brothers Grimm,unknown,unknown,unknown,unknown
Nicolas Grimmett,Human,Male,unknown,unknown
Gunnar Grimmson,Human,Male,unknown,unknown
Robert Grimsditch,Human,Male,unknown,unknown
Elias Grimstone,Human,Male,unknown,unknown
Grindelwald's bodyguard,Human,Male,unknown,unknown
Gellert Grindelwald,Human,Male,unknown,Pure-blood
Gringott,Goblin,Male,unknown,unknown
Unidentified Gringotts guard (I),Human,Male,unknown,unknown
Gringotts Guards,unknown,unknown,unknown,unknown
Gringotts Head Goblin,Goblin,Male,unknown,unknown
Griphook,Goblin,Male,unknown,unknown
Grogory,Human,Male,unknown,Muggle
Group of injured Giants,Giant,Male,unknown,unknown
Edmund Grubb,unknown,Male,unknown,unknown
Grubby-looking St Mungo's patient,Human,Male,unknown,unknown
Alberic Grunnion,Human,Male,unknown,unknown
Gryffindor boy who fetched Harry Potter,Human,Male,Gryffindor,unknown
Gryffindor Lad,Human,Male,Gryffindor,unknown
Gryffindor Wizard's Chess champion,Human,Male,Gryffindor,unknown
Gryffindor Wizard's Chess champion (II),Human,Male,Gryffindor,unknown
Gryffindor Wizard's Chess champion (III),Human,Male,Gryffindor,unknown
Gryffindor Wizard's Chess champion (IV),Human,Male,Gryffindor,unknown
Gryffindor Wizard's Chess champion (V),Human,Male,Gryffindor,unknown
Godric Gryffindor,Human,Male,Gryffindor,Pure-blood
Malodora Grymm's husband,Human,Male,unknown,Muggle
Davey Gudgeon,Human,Male,unknown,unknown
Galvin Gudgeon,Human,Male,unknown,unknown
Guillory,Human,Male,unknown,unknown
Unidentified guitarist,Human,Male,unknown,Muggle
Gulray,Human,Male,unknown,Muggle
Alastor Gumboil,Human,Male,unknown,unknown
Amrish Gupta,Human,Male,Slytherin,unknown
Austin Guthrie,Human,Male,Ravenclaw,unknown
Arnold Guzman,Human,Male,unknown,unknown
Günther the Violent,Human,Male,unknown,unknown
Karl H.,unknown,unknown,unknown,unknown
John Haas,Human,Male,unknown,Muggle
Herschel Haesito,Human,Male,unknown,unknown
Dirgah Hagrid,unknown,Male,unknown,unknown
Rubeus Hagrid's father,Human,Male,unknown,unknown
Rubeus Hagrid,unknown,Male,Gryffindor,unknown
Timothy Hale,Human,Male,unknown,unknown
Brendon Halkirk,Human,Male,Hufflepuff,unknown
Hall,Human,Male,unknown,Muggle
Edwin Halsted,unknown,Male,unknown,Muggle
David Hamblin,Human,Male,Gryffindor,unknown
Jim Hamilton,Human,Male,unknown,Squib
Wu Han Po,Human,Male,unknown,unknown
Roger Handlebaum,Human,Male,unknown,unknown
Handsome Poltergeist,Poltergeist,Male,unknown,unknown
Curt Hanger,Human,Male,Gryffindor,unknown
Niles Hanley,Human,Male,Slytherin,unknown
Hans,Augurey,Male,unknown,unknown
Peter Hansen,Human,Male,unknown,unknown
Warren G. Harding,Human,Male,unknown,Muggle
Shimmy Hardoteer,Human,Male,unknown,unknown
Harfang Longbottom's son,Human,Male,unknown,Pure-blood
Thornton Harkaway,Human,Male,unknown,unknown
Ciceron Harkiss,Human,Male,unknown,unknown
Harper,Human,Male,Slytherin,Pure-blood
Warty Harris,Human,Male,unknown,unknown
Don Harrison,Human,Male,unknown,Muggle
Noel Harwich,Human,Male,Ravenclaw,unknown
Kenneth Hastings,Human,Male,unknown,unknown
Maynard Hatton,Human,Male,Slytherin,unknown
Terrance Hautsol,Human,Male,unknown,unknown
Robert Hawking,Human,Male,unknown,unknown
Stephen Hawking,Human,Male,unknown,Muggle
Avery Hawksworth,Human,Male,unknown,unknown
Ernest Hawkworth,Human,Male,unknown,unknown
Declan Haworth,Human,Male,Ravenclaw,unknown
Howard Haywood,Human,Male,unknown,Muggle
Penny Haywood's father,Human,Male,unknown,Muggle
Unidentified resting Headmaster,Human,Male,unknown,unknown
Headmaster of Castelobruxo during 1989,Human,Male,unknown,unknown
First Headmaster of Hogwarts,Human,Male,unknown,unknown
Heady,Shrunken head,Male,unknown,unknown
Portrait of the Healers,Human,Male,unknown,unknown
Reginald Heartachus,Human,Male,unknown,unknown
Ralph Heidelberger,Human,Male,unknown,unknown
Joseph Heller,Human,Male,unknown,Muggle
Martin Helstrom,Human,Male,unknown,unknown
Christopher Hemsley,Human,Male,Ravenclaw,unknown
Henerick,Human,Male,unknown,unknown
Hengist of Upper Barnton,Giant,Male,unknown,unknown
Henry,Human,Male,unknown,Muggle
Henry VI,Human,Male,unknown,Muggle
Henry VII,Human,Male,unknown,unknown
Henry VIII,Human,Male,unknown,Muggle
Ryan Henry,Human,Male,Gryffindor,unknown
Hereward,Human,Male,unknown,Half-blood
Hermes,Owl,Male,unknown,unknown
Oakden Hernshaw,Human,Male,unknown,unknown
Herpo the Foul,Human,Male,unknown,unknown
David Heyman (in-universe),Human,Male,unknown,Muggle
Chester Hidland,Human,Male,unknown,Muggle
Hieronymus,Crab,Male,unknown,unknown
Higglebottom,Human,Male,unknown,unknown
Bertie Higgs,Human,Male,unknown,unknown
Terence Higgs,Human,Male,Slytherin,unknown
Robin Higgy,Human,Male,Slytherin,unknown
Robert Hilliard,Human,Male,Ravenclaw,unknown
Glover Hipworth,Human,Male,unknown,unknown
Bob Hitchens,Human,Male,unknown,Muggle
Marcus Hitchin,Human,Male,Ravenclaw,unknown
Jarleth Hobart,Human,Male,unknown,unknown
Egmont Hobday,Human,Male,unknown,Pure-blood
Hilliard Hobday,Human,Male,unknown,unknown
Oakden Hobday,Human,Male,unknown,unknown
Stephan Hodhedge,Human,Male,unknown,unknown
Hodrod the Horny-Handed,Goblin,Male,unknown,unknown
Johan Hoffman,Human,Male,unknown,unknown
Stuart Hogg,Human,Male,unknown,unknown
Stefan Hoghedge,Human,Male,unknown,unknown
Hogsmeade street sweeper,Human,Male,unknown,unknown
Hogwarts Express conductor,Human,Male,unknown,Pure-blood
Unidentified Hufflepuff boy who carried a body during the Battle of Hogwarts,Human,Male,Hufflepuff,Pure-blood
Hogwarts student that bet on Fleur Delacour,Human,Male,unknown,unknown
Hogwarts student that blamed Harry Potter,Human,Male,unknown,unknown
Phillipus von Hohenheim,Human,Male,unknown,unknown
John Homme,Human,Male,unknown,unknown
Masaki Hongo,Human,Male,unknown,unknown
Honoria's fiancé,Human,Male,unknown,unknown
Hooky,House-elf,Male,unknown,unknown
Geoffrey Hooper,Human,Male,Gryffindor,unknown
Amos Hopkins,Human,Male,unknown,unknown
Carl Hopkins,Human,Male,Gryffindor,unknown
Wayne Hopkins,Human,Male,Hufflepuff,Half-blood
Kevin Hopwood,Human,Male,unknown,unknown
Horace,Human,Male,unknown,unknown
Olive Hornby's brother,Human,Male,unknown,unknown
Basil Horton,Human,Male,unknown,unknown
Gordon Horton,Human,Male,unknown,unknown
Louis Hubbard,Human,Male,unknown,unknown
Unidentified Hufflepuff boy (II),Human,Male,Hufflepuff,unknown
Hufflepuff boy that blames Harry Potter (I),Human,Male,Hufflepuff,unknown
Hufflepuff boy that blames Harry Potter (II),Human,Male,Hufflepuff,unknown
Unidentified Hufflepuff boy that greets Sir Nicholas (I),Human,Male,Hufflepuff,unknown
Hufflepuff Wizard Duelling Champion,Human,Male,Hufflepuff,unknown
Hugo Pepper,Human,Male,unknown,Muggle
Chris Huhne,Human,Male,unknown,unknown
Sanford Humberston,Human,Male,Ravenclaw,unknown
Hankerton Humble,Human,Male,unknown,Pure-blood
Jason Huntingdon,Human,Male,Ravenclaw,unknown
Emanuel Hurwitz,Human,Male,unknown,Muggle
Raashid Hussain,Human,Male,Hufflepuff,unknown
Clairvius Hyppolite,Human,Male,unknown,unknown
Shoma Ichikawa,Human,Male,Ravenclaw,unknown
Royston Idlewind,Human,Male,unknown,unknown
Satoru Iida,Human,Male,Gryffindor,unknown
Illyius,Human,Male,unknown,unknown
Malcolm Ilminster,Human,Male,Slytherin,unknown
Inigo Imago,Human,Male,unknown,unknown
Imp at the Magical Creatures Reserve,Imp,Male,unknown,unknown
Duncan Inglebee,Human,Male,Ravenclaw,unknown
Ingolfr the Iambic,Human,Male,unknown,unknown
Zaccaria Innocenti,Human,Male,unknown,unknown
Isaac,Human,Male,unknown,unknown
Isaiah,unknown,unknown,unknown,unknown
Tamotsu Iwamoto,Human,Male,unknown,unknown
Jack,Human,Male,unknown,unknown
Josiah Jackson,Human,Male,unknown,unknown
Jacob (Hogwarts student),Human,Male,unknown,Pure-blood
Jacob Kowlaski's foreman,Human,Male,unknown,Muggle
Jacob's father,Human,Male,unknown,unknown
Jae Kim's father,Human,Male,unknown,unknown
James (Hufflepuff Quidditch player),Human,Male,Hufflepuff,unknown
Peter James,Human,Male,Gryffindor,unknown
Bastien Janvier,Human,Male,unknown,unknown
Jasichus,Human,Male,unknown,unknown
Jason Caffoe,unknown,Male,unknown,unknown
Jay,Human,Male,unknown,unknown
Jay's friend,Human,Male,unknown,unknown
Karl Jenkins,Human,Male,Gryffindor,Pure-blood
Joey Jenkins,Human,Male,unknown,unknown
Jerome,Human,Male,unknown,unknown
Jesus,unknown,Male,unknown,unknown
Leonard Jewkes,Human,Male,unknown,unknown
Arsenius Jigger,Human,Male,unknown,unknown
Jim,Human,Male,unknown,Muggle
Jack Jodieman,Human,Male,unknown,unknown
John,Human,Male,unknown,unknown
John Talisker,Human,Male,unknown,unknown
John Terry,Human,Male,unknown,Muggle
Angelina Johnson's father,Human,Male,unknown,unknown
Sylvian Jolicoeur,Human,Male,unknown,unknown
Peter Jones,Human,Male,Gryffindor,unknown
Stuart Jones,Human,Male,unknown,unknown
Johannes Jonker,Human,Male,unknown,Muggle-born
Johannes Jonker's father,Human,Male,unknown,Muggle
Lee Jordan's father,Human,Male,Gryffindor,unknown
Lee Jordan,Human,Male,Gryffindor,Pure-blood
Albert Jorkins,Human,Male,unknown,unknown
Granville Jorkins,Human,Male,unknown,Half-blood
Grimwold Jorkins,unknown,Male,unknown,Half-blood
Stamford Jorkins,Human,Male,unknown,unknown
Samuel Journeux,Human,Male,unknown,unknown
Judges of the 1379 duelling contest,Human,Male,unknown,unknown
Jugson,Human,Male,unknown,Pure-blood
Herman Junker,Human,Male,unknown,unknown
Timothy Justin,Human,Male,Gryffindor,unknown
Ferdinand Jägendorf,Human,Male,unknown,unknown
Philip K.,Human,Male,unknown,Muggle
Mustafa Kama,Human,Male,unknown,Pure-blood
Yusuf Kama,Human,Male,unknown,Pure-blood
Tulip Karasu's father,Human,Male,unknown,unknown
Karkaroff's Aide,Human,Male,unknown,Pure-blood
Igor Karkaroff,Human,Male,unknown,Pure-blood
Karkus,Giant,Male,unknown,unknown
Sourav Kartik,Human,Male,Slytherin,unknown
Michael Karume,Human,Male,Gryffindor,unknown
Lukas Karuzos,Human,Male,unknown,unknown
Luxo Karuzos,Human,Male,unknown,unknown
Luxo Karuzos II,Human,Male,unknown,unknown
Keeper of the reptile house,Human,Male,unknown,Muggle
Roland Kegg,Human,Male,unknown,unknown
Randolph Keitch,Human,Male,unknown,unknown
John Kent,Human,Male,unknown,Muggle
Danny Kershaw,Human,Male,Ravenclaw,unknown
Clifford Kessler,unknown,Male,unknown,Muggle
Silvanus Kettleburn,Human,Male,Hufflepuff,Pure-blood
Silvanus Kettleburn's father,Human,Male,unknown,unknown
Matthew Kettletoft,Human,Male,Hufflepuff,unknown
Kevin,Human,Male,unknown,unknown
Kevin Farrell,Human,Male,Gryffindor,unknown
Kevin's father,Human,Male,unknown,unknown
Ashok Khanna,Human,Male,Ravenclaw,unknown
Rowan Khanna's father,Human,Male,unknown,unknown
Rowan Khanna's brother,Human,Male,unknown,Pure-blood
Kazu Kibuishi,unknown,Male,unknown,unknown
Jimmy Kiddell,Human,Male,unknown,unknown
Aidan Kiely,unknown,Male,unknown,unknown
Olivier Kikkert,Human,Male,unknown,unknown
Humphrey Kilburn,Human,Male,Ravenclaw,unknown
James Killick,Human,Male,unknown,Pure-blood
Jae Kim,Human,Male,Gryffindor,Pure-blood
Unidentified King,Human,Male,unknown,Muggle
King (Babbitty Rabbitty and her Cackling Stump),Human,Male,unknown,Muggle
King's Cross Station guard,Human,Male,unknown,Muggle
Andrew Kirke,Human,Male,Gryffindor,unknown
Biko Kisawahi,Human,Male,Ravenclaw,unknown
Marilias Kistmanus,Human,Male,unknown,unknown
Knarl (individual),Knarl,Male,unknown,unknown
Porteus Knatchbull,Human,Male,unknown,Pure-blood
Goodwin Kneen,Human,Male,unknown,unknown
Knight with an arrow sticking out of his forehead,unknown,Male,unknown,unknown
Montague Knightley,Human,Male,unknown,unknown
H. Knighton,Human,Male,unknown,unknown
Hamish Knighton,Human,Male,Hufflepuff,unknown
Duncan Knottingley,Human,Male,Hufflepuff,unknown
Koldovstoretz potions champion,Human,Male,unknown,unknown
Kris Kolumbiko,Human,Male,Slytherin,unknown
Jacob Kowalski,Human,Male,unknown,Muggle
Jacob Kowalski's grandfather,Human,Male,unknown,Muggle
Jan Kowalski,Human,Male,unknown,unknown
Jacob Kowalski's brother,Human,Male,unknown,Muggle
Quentin Kowalski,Human,Male,unknown,unknown
Krafft,Human,Male,unknown,unknown
Krall,Human,Male,unknown,unknown
Kreacher,House-elf,Male,unknown,unknown
Viktor Krum's father,Human,Male,unknown,unknown
Viktor Krum's grandfather,Human,Male,unknown,unknown
Viktor Krum,Human,Male,unknown,Pure-blood
Hirohisa Kubo,Human,Male,Slytherin,unknown
Lachlan the Lanky,Human,Male,unknown,unknown
Alain Lacroix,Human,Male,unknown,unknown
Laith,Cat,Male,unknown,unknown
Raymund Lambus,Human,Male,unknown,unknown
Neil Lament,Human,Male,Slytherin,unknown
Lamont,Human,Male,unknown,unknown
Hector Lamont,Human,Male,unknown,unknown
Lancelot (Healer),Human,Male,unknown,Half-blood
Lancelot (knight),Human,Male,unknown,unknown
Landlord of The Hanged Man,Human,Male,unknown,Muggle
Landlord of the Siren's Rest,Human,Male,unknown,Muggle
Cerberus Langarm,Human,Male,unknown,unknown
Wallace Lassiter,Human,Male,unknown,Muggle
Mark Latchingdon,Human,Male,Ravenclaw,unknown
Steve Laughalot,Human,Male,Slytherin,unknown
Jean-Jacques Launier,Human,Male,unknown,unknown
Joe Laurie,unknown,Male,unknown,unknown
Artemius Lawson,Human,Male,unknown,unknown
Maxwell Lazenby,Human,Male,Slytherin,unknown
Nobby Leach,Human,Male,unknown,Muggle-born
Wizard in the Leaky Cauldron,Human,Male,unknown,unknown
Unidentified Leaky Cauldron client,Human,Male,unknown,unknown
Leaky Cauldron wizard from Belgium,Human,Male,unknown,unknown
Holden Ledbury,Human,Male,Slytherin,unknown
Barnaby Lee,Human,Male,Slytherin,Pure-blood
Barnaby Lee's father,Human,Male,unknown,unknown
Cecil Lee,Human,Male,unknown,unknown
Toby Lennox (Gryffindor),Human,Male,Gryffindor,unknown
Toby Lennox (Ravenclaw),Human,Male,Ravenclaw,unknown
Leon,Human,Male,unknown,unknown
Amarillo Lestoat,Vampire,Male,unknown,unknown
Lestrange,Human,Male,Slytherin,Pure-blood
Corvus Lestrange (I),unknown,Male,unknown,Pure-blood
Corvus Lestrange (II),Human,Male,unknown,Pure-blood
Corvus Lestrange (III),unknown,Male,unknown,Pure-blood
Corvus Lestrange (IV),Human,Male,unknown,Pure-blood
Corvus Lestrange (V),Human,Male,unknown,Pure-blood
Cyrille Lestrange (I),Human,Male,unknown,Pure-blood
Cyrille Lestrange (II),Human,Male,unknown,Pure-blood
Cyrille Lestrange (III),Human,Male,unknown,Pure-blood
Cyrille Lestrange (IV),Human,Male,unknown,Pure-blood
Falco Lestrange,Human,Male,unknown,Pure-blood
Floxel Lestrange,Human,Male,unknown,Pure-blood
Fulcran Lestrange (I),Human,Male,unknown,Pure-blood
Fulcran Lestrange (II),Human,Male,unknown,Pure-blood
Fulcran Lestrange (III),Human,Male,unknown,Pure-blood
Rabastan Lestrange,Human,Male,unknown,Pure-blood
Radolphus Lestrange,Human,Male,unknown,Pure-blood
Rodolphus Lestrange,Human,Male,Slytherin,Pure-blood
Alexei Levski,Human,Male,unknown,unknown
Bogomil Levski,Human,unknown,unknown,Pure-blood
Eduardo Lima Filho,Human,Male,unknown,unknown
Eduardo Lima (in-universe),Human,Male,unknown,unknown
Eduardus Lima,Human,Male,unknown,unknown
Edwardus Lima,Human,Male,unknown,unknown
Maxwell Lima,Human,Male,unknown,Muggle
Limebert,unknown,Male,unknown,unknown
Karl Limpley,Human,Male,Hufflepuff,unknown
Limunus,Human,Male,unknown,unknown
Eduardus Limus (criminal),Human,Male,unknown,unknown
Eduardus Limus (Ministry employee),Human,Male,unknown,Pure-blood
Luciano Limus,Human,Male,unknown,unknown
Miro Limus,Human,Male,unknown,unknown
Matheus Limusa,Human,Male,unknown,unknown
Linfred of Stinchcombe,Human,Male,unknown,unknown
Gabriel Lithgow,Human,Male,Slytherin,unknown
Little Hangleton boys,Human,Male,unknown,Muggle
Little Hangleton milkman,Human,Male,unknown,Muggle
Little Whinging milkman,Human,Male,unknown,Muggle
Little Whinging postman,Human,Male,unknown,Muggle
Livius,Human,Male,unknown,unknown
Dai Llewellyn,Human,Male,unknown,unknown
Chiara Lobosca's father,Human,Male,unknown,unknown
Guthrie Lochrin,Human,Male,unknown,unknown
Gilderoy Lockhart,Human,Male,Ravenclaw,Half-blood
Gilderoy Lockhart's father,Human,Male,unknown,Muggle
Bernard Lockwood,Human,Male,unknown,Muggle
Xander Lofthouse,Human,Male,Slytherin,unknown
Jack London,Human,Male,unknown,unknown
Frank Longbottom's father,Human,Male,unknown,Pure-blood
Algie Longbottom,Human,Male,unknown,unknown
Frank Longbottom,Human,Male,unknown,Pure-blood
Harfang Longbottom,Human,Male,unknown,Pure-blood
Neville Longbottom,Human,Male,Gryffindor,Pure-blood
Aamir Loonat,Human,Male,Gryffindor,unknown
Carlos Lopez,Human,Male,unknown,unknown
Louise's admirer,Human,Male,unknown,unknown
Xenophilius Lovegood,Human,Male,Ravenclaw,Pure-blood
Loxias,Human,Male,unknown,unknown
Russell Lucky,Human,Male,Slytherin,unknown
Erich Ludendorff,Human,Male,unknown,Muggle
Ludovic Bagman's goblin creditors,Goblin,Male,unknown,unknown
Luke,Human,Male,unknown,unknown
Jim Luna,Human,Male,unknown,unknown
Lars Lundekvam,Human,Male,unknown,unknown
Clive Lundquist,unknown,Male,unknown,unknown
Chris Lunney,Human,Male,unknown,Muggle
Lyall Lupin,Human,Male,unknown,Half-blood
Remus Lupin,Werewolf,Male,Gryffindor,Half-blood
Edward Lupin,Human,Male,Hufflepuff,Half-blood
Aidan Lynch,Human,Male,unknown,unknown
Garvin Lügner,Human,Male,unknown,unknown
Caelan MacBoon,unknown,Male,unknown,unknown
Quintius MacBoon,unknown,Male,unknown,unknown
Magnus MacDonald,Human,Male,unknown,unknown
MacDuff,Human,Male,unknown,unknown
Mungo MacDuff,Human,Male,unknown,unknown
Alberto Macellarius,Human,Male,unknown,unknown
Hamish MacFarlan,Human,Male,unknown,unknown
Martin MacFusty,Human,Male,unknown,unknown
Charles Machin,Human,Male,Slytherin,unknown
Lachlan MacKenzie,Human,Male,unknown,unknown
Ernest Macmillan,Human,Male,Hufflepuff,Pure-blood
Walden Macnair,Human,Male,unknown,Pure-blood
Alasdair Maddock,Human,Male,unknown,unknown
Dominic Maestro,Human,Male,unknown,unknown
Magic goblin,Goblin,Male,unknown,unknown
Magical Menagerie salesman,Human,Male,unknown,unknown
Magnus,Centaur,Male,unknown,unknown
Magorian,Centaur,Male,unknown,unknown
Mahoutokoro potions champion,Human,Male,unknown,unknown
Edmund Major II,Human,Male,unknown,Muggle
David Makehay,Human,Male,Slytherin,unknown
Malcolm,Human,Male,unknown,Muggle
Unidentified Gryffindor Seeker,Human,Male,Gryffindor,unknown
Unidentified Hufflepuff Seeker,Human,Male,Hufflepuff,unknown
Unidentified Hufflepuff Substitute Seeker,Human,Male,Hufflepuff,unknown
Male Muggle Studies teacher's student assistant,Human,Male,Hufflepuff,Pure-blood
Male nurses at St Oswald's Home for Old Witches and Wizards,Human,Male,unknown,unknown
Unidentified Ravenclaw Seeker,Human,Male,Ravenclaw,unknown
Malecrit,Human,Male,unknown,unknown
Theopholos Malentus,Human,Male,unknown,unknown
Paul Males,Human,Male,unknown,unknown
Abraxas Malfoy,Human,Male,Slytherin,Pure-blood
Armand Malfoy,Human,Male,unknown,Pure-blood
Brutus Malfoy,Human,Male,unknown,Pure-blood
Draco Malfoy,Human,Male,Slytherin,Pure-blood
Lucius Malfoy,Human,Male,Slytherin,Pure-blood
Lucius Malfoy I,Human,Male,unknown,Pure-blood
Nicholas Malfoy,Human,Male,unknown,Pure-blood
Scorpius Malfoy,Human,Male,Slytherin,Pure-blood
Septimus Malfoy,Human,Male,unknown,Pure-blood
Trev Mallory,Human,Male,Gryffindor,unknown
Roger Malone,Human,Male,Hufflepuff,unknown
Bernard Maltby,Human,Male,Hufflepuff,unknown
Man who gave Mr Roberts Galleons,Human,Male,unknown,Pure-blood
Man with knowledge of the Taboo,Human,Male,unknown,Pure-blood
Manager at Eeylops Owl Emporium,Human,Male,unknown,unknown
Manager of Flourish and Blotts,Human,Male,unknown,unknown
Manager of Gambol and Japes Wizarding Joke Shop,Human,Male,unknown,unknown
Marauders,unknown,unknown,unknown,unknown
Marazion,Human,Male,unknown,unknown
Quiac Marinus,Human,Male,unknown,unknown
Marius,Human,Male,unknown,Pure-blood
Beaumont Marjoribanks,Human,Male,unknown,unknown
Mark,Human,Male,unknown,unknown
Kenny Markham,Human,Male,Gryffindor,unknown
Martha Steward II's husband,Human,Male,unknown,Muggle
Martin Miggs,Human,Male,unknown,Muggle
Dylan Marwood,Human,Male,unknown,unknown
Mason,Human,Male,unknown,Muggle
Angus Matlock,Human,Male,Gryffindor,unknown
Matthew,Human,Male,unknown,unknown
Hugo Mattingley,Human,Male,Ravenclaw,unknown
Mauricius,Human,Male,Slytherin,unknown
Paul Mawdesley,Human,Male,Gryffindor,unknown
Olympe Maxime's father,Human,Male,unknown,unknown
Maxwell,Human,Male,unknown,unknown
Mazoni,Human,Male,unknown,unknown
Eugene McAllister,unknown,Male,unknown,Muggle
Dougal McBride,Human,Male,unknown,unknown
Albert McCausland,Human,Male,unknown,Muggle
McClaggan,Human,Male,Gryffindor,unknown
Dugald McClivert,Human,Male,unknown,unknown
Sterling McCubbin,Human,Male,Ravenclaw,unknown
Benjamin McEwen,Human,Male,Hufflepuff,unknown
Joe McGee,Human,Male,Gryffindor,unknown
Malcolm McGonagall,Human,Male,unknown,Half-blood
Robert McGonagall Junior,Human,Male,unknown,Half-blood
Robert McGonagall Senior,Human,Male,unknown,Muggle
Robert McGonagall Senior's father,Human,Male,unknown,Muggle
William McGonagall,Human,Male,unknown,Muggle
Dougal McGregor's father,Human,Male,unknown,Muggle
Dougal McGregor's father-in-law,Human,Male,unknown,Muggle
Dougal McGregor,Human,Male,unknown,Muggle
Thomas McGruder,Human,Male,Slytherin,unknown
Jim McGuffin,Human,Male,unknown,Muggle
Stuart McKinley,Human,Male,Hufflepuff,unknown
Cormac McLaggen,Human,Male,Gryffindor,Pure-blood
Cormac McLaggen's father,Human,Male,unknown,Pure-blood
Lorcan McLaird,Human,Male,Ravenclaw,Pure-blood
Cormack McLeod,Human,Male,unknown,Pure-blood
Angus McMangus,Human,Male,unknown,unknown
Michael McManus,Human,Male,Hufflepuff,unknown
Murphy McNully,Human,Male,unknown,Pure-blood
Dugald McPhail,Human,Male,Hufflepuff,Pure-blood
Torquil McTavish,Human,Male,unknown,unknown
Tarquin McTavish,Human,Male,unknown,unknown
Robin McTighe,Human,Male,Gryffindor,unknown
Cyril Meakin,Human,Male,unknown,unknown
Menzies,Human,Male,unknown,unknown
Merlin,Human,Male,Slytherin,unknown
Merwyn the Malicious,Human,Male,unknown,unknown
